[2026-01-09 19:52:51] API CALL OK | Data: HTTP: 200, time: 1239ms, saved: yes
[2026-01-09 19:52:51] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:52:51] CACHE EXPIRED | Data: age: 3662s > TTL: 3600s
[2026-01-09 19:52:52] API CALL OK | Data: HTTP: 200, time: 1092ms, saved: yes
[2026-01-09 19:52:52] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:52:52] CACHE HIT | Data: age: 3s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:52:52] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:52:52] CACHE HIT | Data: age: 1s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:53:05] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:53:05] CACHE HIT | Data: age: 16s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:53:05] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:53:05] CACHE HIT | Data: age: 14s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:54:50] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:54:50] CACHE HIT | Data: age: 121s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:54:50] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:54:50] CACHE HIT | Data: age: 119s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:54:50] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:54:50] CACHE HIT | Data: age: 118s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:54:50] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:54:50] CACHE HIT | Data: age: 121s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:54:50] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:54:50] CACHE HIT | Data: age: 119s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:55:07] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:55:07] CACHE HIT | Data: age: 138s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:55:07] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:55:07] CACHE HIT | Data: age: 136s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:56:50] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:56:50] CACHE HIT | Data: age: 241s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:56:50] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:56:50] CACHE HIT | Data: age: 239s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:56:50] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:56:50] CACHE HIT | Data: age: 238s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:56:51] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:56:51] CACHE HIT | Data: age: 242s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:56:51] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:56:51] CACHE HIT | Data: age: 240s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:57:04] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:57:04] CACHE HIT | Data: age: 255s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:57:04] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:57:04] CACHE HIT | Data: age: 253s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:58:47] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:58:47] CACHE HIT | Data: age: 358s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:58:47] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:58:47] CACHE HIT | Data: age: 356s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:58:47] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:58:47] CACHE HIT | Data: age: 355s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:58:47] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:58:47] CACHE HIT | Data: age: 358s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:58:47] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:58:47] CACHE HIT | Data: age: 356s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:58:56] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:58:56] CACHE HIT | Data: age: 367s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:58:56] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:58:56] CACHE HIT | Data: age: 365s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:00:47] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:00:47] CACHE HIT | Data: age: 478s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 20:00:47] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 20:00:47] CACHE HIT | Data: age: 476s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:00:47] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 20:00:47] CACHE HIT | Data: age: 475s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 20:00:48] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:00:48] CACHE HIT | Data: age: 479s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 20:00:48] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 20:00:48] CACHE HIT | Data: age: 477s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:01:03] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:01:03] CACHE HIT | Data: age: 494s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 20:01:03] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 20:01:03] CACHE HIT | Data: age: 492s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:07:16] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:07:16] CACHE HIT | Data: age: 867s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 20:07:16] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 20:07:16] CACHE HIT | Data: age: 865s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:07:16] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 20:07:16] CACHE HIT | Data: age: 864s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 20:07:16] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:07:16] CACHE HIT | Data: age: 867s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 20:07:16] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 20:07:16] CACHE HIT | Data: age: 865s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:07:38] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:07:38] CACHE HIT | Data: age: 889s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 20:07:38] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 20:07:38] CACHE HIT | Data: age: 887s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:08:02] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:08:02] CACHE HIT | Data: age: 913s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 20:08:02] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 20:08:02] CACHE HIT | Data: age: 911s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:08:02] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 20:08:02] CACHE HIT | Data: age: 910s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 20:08:02] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:08:02] CACHE HIT | Data: age: 913s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 20:08:02] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 20:08:02] CACHE HIT | Data: age: 911s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:08:12] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:08:12] CACHE HIT | Data: age: 923s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 20:08:12] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 20:08:12] CACHE HIT | Data: age: 921s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 20:11:07] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 20:11:07] CACHE HIT | Data: age: 1098s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
